"id","code","name","parent_id/id"
"comm_AKU","AKU","Aktiviteter & Uddannelse",""
"comm_BRA","BRA","Budget, Regnskab og Administration",""
"comm_BRA-spon","","Sponsorarbejde","comm_BRA"
"comm_DU","DU","Deltager & Underlejr",""
"comm_ES","ES","Event & Spejderånd",""
"comm_HIF","HIF","Handel Indkøb & Forplejning",""
"comm_HR","HR","Human Resource",""
"comm_HR_adm","","Administration","comm_HR"
"comm_HR_it","","IT","comm_HR"
"comm_HR_job","","Jobcenter","comm_HR"
"comm_HR_vjob","","Virtuelt jobcenter","comm_HR_job"
"comm_HR_slnk","","Sønderborg link","comm_HR"
"comm_HR_triv","","Trivsel","comm_HR"
